usage_id,customer_id,service_type,month_year,gb_used,minutes_used
99,CUST0007,Internet,2023-01-31,59.6,808
100,CUST0007,Streaming,2023-01-01,47.12,1327
101,CUST0007,Streaming,2023-01-31,46.67,375
102,CUST0008,Phone,2023-01-01,64.72,342
103,CUST0008,Phone,2023-01-31,41.0,1225
104,CUST0008,Phone,2023-03-02,9.22,270
105,CUST0008,Phone,2023-04-01,16.56,287
106,CUST0008,Phone,2023-05-01,61.86,1599
107,CUST0008,Phone,2023-05-31,36.56,976
108,CUST0008,Phone,2023-06-30,68.3,310
109,CUST0008,Phone,2023-07-30,19.63,1323
110,CUST0008,Phone,2023-08-29,77.15,1875
111,CUST0008,Internet,2023-01-01,24.02,398
112,CUST0008,Internet,2023-01-31,23.67,236
113,CUST0008,Internet,2023-03-02,8.71,310
114,CUST0008,Internet,2023-04-01,66.93,534
115,CUST0008,Internet,2023-05-01,47.68,538
116,CUST0008,Internet,2023-05-31,20.23,765
117,CUST0008,Internet,2023-06-30,25.06,1646
118,CUST0008,Internet,2023-07-30,5.24,526
119,CUST0008,Internet,2023-08-29,23.2,1001
120,CUST0008,Streaming,2023-01-01,21.68,841
121,CUST0008,Streaming,2023-01-31,52.93,1343
122,CUST0008,Streaming,2023-03-02,72.04,1355
123,CUST0008,Streaming,2023-04-01,44.49,151
124,CUST0008,Streaming,2023-05-01,58.96,475
125,CUST0008,Streaming,2023-05-31,7.82,458
126,CUST0008,Streaming,2023-06-30,38.36,1789
127,CUST0008,Streaming,2023-07-30,62.09,751
128,CUST0008,Streaming,2023-08-29,29.97,1752
129,CUST0009,Phone,2023-01-01,3.63,699
130,CUST0009,Phone,2023-01-31,74.08,1392
131,CUST0009,Phone,2023-03-02,61.79,217
132,CUST0009,Phone,2023-04-01,25.64,215
133,CUST0009,Phone,2023-05-01,54.7,1198
134,CUST0010,Phone,2023-01-01,54.74,1757
135,CUST0010,Streaming,2023-01-01,34.16,1561
136,CUST0011,Phone,2023-01-01,21.57,890
137,CUST0011,Phone,2023-01-31,26.8,846
138,CUST0011,Phone,2023-03-02,77.61,637
139,CUST0011,Phone,2023-04-01,65.63,1664
140,CUST0011,Phone,2023-05-01,28.47,1287
141,CUST0011,Phone,2023-05-31,14.95,1670
142,CUST0011,Phone,2023-06-30,53.33,372
143,CUST0011,Phone,2023-07-30,10.29,1873
144,CUST0011,Phone,2023-08-29,29.67,1216
145,CUST0011,Internet,2023-01-01,70.07,721
146,CUST0011,Internet,2023-01-31,70.9,1046
147,CUST0011,Internet,2023-03-02,2.01,606
148,CUST0011,Internet,2023-04-01,53.46,675
149,CUST0011,Internet,2023-05-01,37.68,605
150,CUST0011,Internet,2023-05-31,6.79,1210
151,CUST0011,Internet,2023-06-30,34.37,1642
152,CUST0011,Internet,2023-07-30,52.6,1845
153,CUST0011,Internet,2023-08-29,17.42,429
154,CUST0011,Streaming,2023-01-01,39.24,490
155,CUST0011,Streaming,2023-01-31,42.97,1429
156,CUST0011,Streaming,2023-03-02,33.31,919
157,CUST0011,Streaming,2023-04-01,25.19,1871
158,CUST0011,Streaming,2023-05-01,32.56,1029
159,CUST0011,Streaming,2023-05-31,4.97,743
160,CUST0011,Streaming,2023-06-30,18.29,829
161,CUST0011,Streaming,2023-07-30,18.76,170
162,CUST0011,Streaming,2023-08-29,48.43,556
163,CUST0012,Phone,2023-01-01,11.09,1019
164,CUST0012,Phone,2023-01-31,64.63,855
165,CUST0012,Phone,2023-03-02,8.18,1406
166,CUST0012,Internet,2023-01-01,48.24,476
167,CUST0012,Internet,2023-01-31,32.91,607
168,CUST0012,Internet,2023-03-02,70.54,1478
169,CUST0012,Streaming,2023-01-01,13.81,1310
170,CUST0012,Streaming,2023-01-31,30.98,520
171,CUST0012,Streaming,2023-03-02,8.29,403
172,CUST0013,Phone,2023-01-01,38.65,1612
173,CUST0013,Phone,2023-01-31,66.62,1793
174,CUST0013,Phone,2023-03-02,26.57,1189
175,CUST0013,Phone,2023-04-01,51.15,321
176,CUST0013,Phone,2023-05-01,30.06,1213
177,CUST0013,Phone,2023-05-31,23.61,1578
178,CUST0013,Phone,2023-06-30,54.92,482
179,CUST0013,Phone,2023-07-30,70.26,698
180,CUST0013,Phone,2023-08-29,27.4,489
181,CUST0013,Phone,2023-09-28,58.32,1835
182,CUST0013,Internet,2023-01-01,64.53,118
183,CUST0013,Internet,2023-01-31,42.27,706
184,CUST0013,Internet,2023-03-02,79.66,1665
185,CUST0013,Internet,2023-04-01,54.44,132
186,CUST0013,Internet,2023-05-01,13.63,1647
187,CUST0013,Internet,2023-05-31,76.14,254
188,CUST0013,Internet,2023-06-30,28.66,1369
189,CUST0013,Internet,2023-07-30,8.72,1882
190,CUST0013,Internet,2023-08-29,19.68,846
191,CUST0013,Internet,2023-09-28,12.31,370
192,CUST0013,Streaming,2023-01-01,49.61,1610
193,CUST0013,Streaming,2023-01-31,31.71,373
194,CUST0013,Streaming,2023-03-02,48.76,1806
195,CUST0013,Streaming,2023-04-01,37.83,521
196,CUST0013,Streaming,2023-05-01,18.87,463
197,CUST0013,Streaming,2023-05-31,5.77,477
198,CUST0013,Streaming,2023-06-30,36.41,990
199,CUST0013,Streaming,2023-07-30,47.86,980
200,CUST0013,Streaming,2023-08-29,41.28,121
201,CUST0013,Streaming,2023-09-28,19.02,482
202,CUST0014,Phone,2023-01-01,38.36,602
203,CUST0014,Phone,2023-01-31,48.69,1690
204,CUST0014,Phone,2023-03-02,21.3,1986
205,CUST0014,Phone,2023-04-01,44.21,1535
206,CUST0014,Phone,2023-05-01,34.38,278
207,CUST0014,Phone,2023-05-31,50.8,364
208,CUST0014,Internet,2023-01-01,3.64,1785
209,CUST0014,Internet,2023-01-31,6.65,826
210,CUST0014,Internet,2023-03-02,63.44,1176
211,CUST0014,Internet,2023-04-01,42.83,1453
212,CUST0014,Internet,2023-05-01,44.35,989
213,CUST0014,Internet,2023-05-31,8.25,1024
214,CUST0015,Internet,2023-01-01,14.74,1462
215,CUST0015,Internet,2023-01-31,59.9,128
216,CUST0015,Internet,2023-03-02,32.16,1641
217,CUST0015,Internet,2023-04-01,32.04,1417
218,CUST0015,Internet,2023-05-01,41.91,1270
219,CUST0015,Internet,2023-05-31,70.92,619
220,CUST0015,Internet,2023-06-30,67.45,439
221,CUST0015,Internet,2023-07-30,39.01,1814
222,CUST0015,Internet,2023-08-29,6.84,656
223,CUST0015,Internet,2023-09-28,45.16,1139
224,CUST0015,Internet,2023-10-28,46.15,1619
225,CUST0016,Phone,2023-01-01,45.51,1456
226,CUST0016,Phone,2023-01-31,10.86,426
227,CUST0016,Phone,2023-03-02,9.64,1737
228,CUST0016,Phone,2023-04-01,66.14,1913
229,CUST0016,Phone,2023-05-01,44.22,1551
230,CUST0016,Phone,2023-05-31,5.56,1614
231,CUST0016,Phone,2023-06-30,47.96,1835
232,CUST0016,Phone,2023-07-30,25.14,405
233,CUST0016,Phone,2023-08-29,15.25,1588
234,CUST0016,Internet,2023-01-01,64.13,1617
235,CUST0016,Internet,2023-01-31,42.45,1036
236,CUST0016,Internet,2023-03-02,14.95,1914
237,CUST0016,Internet,2023-04-01,79.18,1064
238,CUST0016,Internet,2023-05-01,76.02,1653
239,CUST0016,Internet,2023-05-31,74.39,1678
240,CUST0016,Internet,2023-06-30,45.27,757
241,CUST0016,Internet,2023-07-30,54.45,1442
242,CUST0016,Internet,2023-08-29,54.29,278
243,CUST0016,Streaming,2023-01-01,27.83,1795
244,CUST0016,Streaming,2023-01-31,40.19,331
245,CUST0016,Streaming,2023-03-02,52.93,831
246,CUST0016,Streaming,2023-04-01,28.16,913
247,CUST0016,Streaming,2023-05-01,79.11,422
248,CUST0016,Streaming,2023-05-31,77.49,1641
249,CUST0016,Streaming,2023-06-30,58.84,1555
250,CUST0016,Streaming,2023-07-30,10.95,528
251,CUST0016,Streaming,2023-08-29,20.48,1660
252,CUST0017,Phone,2023-01-01,15.96,466
253,CUST0017,Phone,2023-01-31,18.21,912
254,CUST0017,Phone,2023-03-02,39.06,1954
255,CUST0017,Phone,2023-04-01,62.97,1072
256,CUST0017,Streaming,2023-01-01,23.89,1884
257,CUST0017,Streaming,2023-01-31,52.5,1270
258,CUST0017,Streaming,2023-03-02,79.42,1432
259,CUST0017,Streaming,2023-04-01,55.61,1137
260,CUST0018,Phone,2023-01-01,58.96,1851
261,CUST0018,Phone,2023-01-31,33.15,662
262,CUST0018,Phone,2023-03-02,59.7,825
263,CUST0018,Phone,2023-04-01,16.11,1625
264,CUST0018,Phone,2023-05-01,17.19,175
265,CUST0018,Phone,2023-05-31,59.01,1983
266,CUST0018,Internet,2023-01-01,59.06,1412
267,CUST0018,Internet,2023-01-31,66.94,990
268,CUST0018,Internet,2023-03-02,7.3,1249
269,CUST0018,Internet,2023-04-01,6.65,509
270,CUST0018,Internet,2023-05-01,71.43,226
271,CUST0018,Internet,2023-05-31,34.43,691
272,CUST0018,Streaming,2023-01-01,54.71,1761
273,CUST0018,Streaming,2023-01-31,42.53,409
274,CUST0018,Streaming,2023-03-02,6.62,639
275,CUST0018,Streaming,2023-04-01,54.69,543
276,CUST0018,Streaming,2023-05-01,79.54,939
277,CUST0018,Streaming,2023-05-31,14.38,313
278,CUST0019,Internet,2023-01-01,35.86,184
279,CUST0019,Internet,2023-01-31,79.34,164
280,CUST0019,Internet,2023-03-02,29.64,726
281,CUST0019,Internet,2023-04-01,54.2,1038
282,CUST0019,Internet,2023-05-01,56.66,1475
283,CUST0019,Streaming,2023-01-01,29.91,590
284,CUST0019,Streaming,2023-01-31,29.29,1586
285,CUST0019,Streaming,2023-03-02,14.59,412
286,CUST0019,Streaming,2023-04-01,17.51,1982
287,CUST0019,Streaming,2023-05-01,46.48,1589
288,CUST0020,Phone,2023-01-01,59.9,779
289,CUST0020,Phone,2023-01-31,21.85,1258
290,CUST0020,Phone,2023-03-02,62.86,439
291,CUST0020,Phone,2023-04-01,56.55,1470
292,CUST0020,Phone,2023-05-01,56.21,208
293,CUST0020,Phone,2023-05-31,34.17,632
294,CUST0020,Phone,2023-06-30,59.33,211
295,CUST0020,Phone,2023-07-30,12.18,1300
296,CUST0020,Internet,2023-01-01,12.39,200
297,CUST0020,Internet,2023-01-31,73.13,1727
298,CUST0020,Internet,2023-03-02,48.75,1036
299,CUST0020,Internet,2023-04-01,16.25,157
300,CUST0020,Internet,2023-05-01,2.5,233
301,CUST0020,Internet,2023-05-31,72.83,1120
302,CUST0020,Internet,2023-06-30,59.3,1198
303,CUST0020,Internet,2023-07-30,47.62,1291
304,CUST0020,Streaming,2023-01-01,12.03,1478
305,CUST0020,Streaming,2023-01-31,6.75,1654
306,CUST0020,Streaming,2023-03-02,50.8,1364
307,CUST0020,Streaming,2023-04-01,30.21,443
308,CUST0020,Streaming,2023-05-01,42.67,801
309,CUST0020,Streaming,2023-05-31,52.08,252
310,CUST0020,Streaming,2023-06-30,3.76,607
311,CUST0020,Streaming,2023-07-30,11.49,1605
312,CUST0021,Phone,2023-01-01,26.65,320
313,CUST0021,Phone,2023-01-31,65.19,822
314,CUST0021,Phone,2023-03-02,49.71,1305
315,CUST0021,Phone,2023-04-01,73.22,1764
316,CUST0021,Phone,2023-05-01,27.54,580
317,CUST0021,Phone,2023-05-31,22.97,1871
318,CUST0021,Phone,2023-06-30,63.67,1525
319,CUST0021,Phone,2023-07-30,25.9,144
320,CUST0021,Phone,2023-08-29,47.86,1757
321,CUST0021,Internet,2023-01-01,7.26,972
322,CUST0021,Internet,2023-01-31,8.36,650
323,CUST0021,Internet,2023-03-02,58.4,1133
324,CUST0021,Internet,2023-04-01,42.41,855
325,CUST0021,Internet,2023-05-01,47.16,699
326,CUST0021,Internet,2023-05-31,33.22,1452
327,CUST0021,Internet,2023-06-30,49.18,615
328,CUST0021,Internet,2023-07-30,52.65,1644
329,CUST0021,Internet,2023-08-29,26.09,253
330,CUST0021,Streaming,2023-01-01,74.75,371
331,CUST0021,Streaming,2023-01-31,27.96,1943
332,CUST0021,Streaming,2023-03-02,57.15,1384
333,CUST0021,Streaming,2023-04-01,46.04,1781
334,CUST0021,Streaming,2023-05-01,71.1,1728
335,CUST0021,Streaming,2023-05-31,74.68,1037
336,CUST0021,Streaming,2023-06-30,59.4,1312
337,CUST0021,Streaming,2023-07-30,24.4,1131
338,CUST0021,Streaming,2023-08-29,51.8,290
339,CUST0022,Streaming,2023-01-01,12.74,366
340,CUST0022,Streaming,2023-01-31,19.21,1632
341,CUST0022,Streaming,2023-03-02,3.92,1287
342,CUST0022,Streaming,2023-04-01,41.0,1391
343,CUST0022,Streaming,2023-05-01,29.81,1631
344,CUST0022,Streaming,2023-05-31,61.13,407
345,CUST0022,Streaming,2023-06-30,41.95,1881
346,CUST0022,Streaming,2023-07-30,34.03,890
347,CUST0022,Streaming,2023-08-29,50.39,1955
348,CUST0023,Phone,2023-01-01,8.53,1792
349,CUST0023,Phone,2023-01-31,25.66,278
350,CUST0023,Phone,2023-03-02,71.13,834
351,CUST0023,Phone,2023-04-01,55.95,1557
352,CUST0023,Phone,2023-05-01,27.63,1306
353,CUST0023,Phone,2023-05-31,12.2,1253
354,CUST0023,Phone,2023-06-30,77.29,1757
355,CUST0023,Internet,2023-01-01,46.85,1229
356,CUST0023,Internet,2023-01-31,58.64,1830
357,CUST0023,Internet,2023-03-02,26.35,693
358,CUST0023,Internet,2023-04-01,18.11,951
359,CUST0023,Internet,2023-05-01,60.13,1078
360,CUST0023,Internet,2023-05-31,33.07,1055
361,CUST0023,Internet,2023-06-30,22.99,1490
362,CUST0023,Streaming,2023-01-01,73.88,483
363,CUST0023,Streaming,2023-01-31,72.92,423
364,CUST0023,Streaming,2023-03-02,64.01,1615
365,CUST0023,Streaming,2023-04-01,71.97,282
366,CUST0023,Streaming,2023-05-01,13.17,1590
367,CUST0023,Streaming,2023-05-31,76.59,1642
368,CUST0023,Streaming,2023-06-30,3.99,404
369,CUST0024,Phone,2023-01-01,72.45,1113
370,CUST0024,Phone,2023-01-31,10.5,1707
371,CUST0024,Phone,2023-03-02,8.43,1715
372,CUST0024,Phone,2023-04-01,65.09,1677
373,CUST0024,Phone,2023-05-01,44.58,272
374,CUST0024,Phone,2023-05-31,68.98,1278
375,CUST0024,Phone,2023-06-30,63.24,647
376,CUST0024,Phone,2023-07-30,13.44,1013
377,CUST0024,Phone,2023-08-29,75.71,384
378,CUST0024,Internet,2023-01-01,27.6,1562
379,CUST0024,Internet,2023-01-31,41.05,1275
380,CUST0024,Internet,2023-03-02,20.04,1506
381,CUST0024,Internet,2023-04-01,11.36,1605
382,CUST0024,Internet,2023-05-01,6.97,1198
383,CUST0024,Internet,2023-05-31,69.19,177
384,CUST0024,Internet,2023-06-30,36.74,787
385,CUST0024,Internet,2023-07-30,27.65,1307
386,CUST0024,Internet,2023-08-29,20.38,926
387,CUST0024,Streaming,2023-01-01,65.33,1911
388,CUST0024,Streaming,2023-01-31,24.58,1849
389,CUST0024,Streaming,2023-03-02,68.96,1004
390,CUST0024,Streaming,2023-04-01,78.95,768
391,CUST0024,Streaming,2023-05-01,59.87,1435
392,CUST0024,Streaming,2023-05-31,52.45,1158
393,CUST0024,Streaming,2023-06-30,70.1,1881
394,CUST0024,Streaming,2023-07-30,25.96,1642
395,CUST0024,Streaming,2023-08-29,57.96,1854
396,CUST0025,Phone,2023-01-01,8.88,1210
397,CUST0025,Phone,2023-01-31,15.13,942
398,CUST0025,Phone,2023-03-02,54.78,789
399,CUST0025,Phone,2023-04-01,33.34,264
400,CUST0025,Phone,2023-05-01,41.87,482
401,CUST0025,Phone,2023-05-31,39.22,1555
402,CUST0025,Internet,2023-01-01,66.64,323
403,CUST0025,Internet,2023-01-31,74.73,1810
404,CUST0025,Internet,2023-03-02,10.22,215
405,CUST0025,Internet,2023-04-01,38.57,1491
406,CUST0025,Internet,2023-05-01,56.37,514
407,CUST0025,Internet,2023-05-31,13.08,991
408,CUST0025,Streaming,2023-01-01,58.58,762
409,CUST0025,Streaming,2023-01-31,49.74,1625
410,CUST0025,Streaming,2023-03-02,71.14,1458
411,CUST0025,Streaming,2023-04-01,7.53,1150
412,CUST0025,Streaming,2023-05-01,54.97,903
413,CUST0025,Streaming,2023-05-31,20.18,1714
414,CUST0026,Phone,2023-01-01,51.11,1072
415,CUST0026,Phone,2023-01-31,25.27,1083
416,CUST0026,Phone,2023-03-02,78.25,1824
417,CUST0026,Internet,2023-01-01,12.86,1345
418,CUST0026,Internet,2023-01-31,73.1,880
419,CUST0026,Internet,2023-03-02,78.11,1569
420,CUST0026,Streaming,2023-01-01,21.94,433
421,CUST0026,Streaming,2023-01-31,28.84,1221
422,CUST0026,Streaming,2023-03-02,15.06,1600
423,CUST0027,Phone,2023-01-01,41.43,864
424,CUST0027,Phone,2023-01-31,34.44,113
425,CUST0027,Phone,2023-03-02,78.65,409
426,CUST0027,Phone,2023-04-01,38.97,1480
427,CUST0027,Phone,2023-05-01,53.73,1691
428,CUST0027,Phone,2023-05-31,43.34,439
429,CUST0027,Phone,2023-06-30,34.93,856
430,CUST0027,Internet,2023-01-01,65.77,1608
431,CUST0027,Internet,2023-01-31,65.98,733
432,CUST0027,Internet,2023-03-02,54.54,1038
433,CUST0027,Internet,2023-04-01,37.73,541
434,CUST0027,Internet,2023-05-01,5.59,1255
435,CUST0027,Internet,2023-05-31,42.0,1605
436,CUST0027,Internet,2023-06-30,60.22,692
437,CUST0027,Streaming,2023-01-01,79.67,424
438,CUST0027,Streaming,2023-01-31,22.25,547
439,CUST0027,Streaming,2023-03-02,28.91,1740
440,CUST0027,Streaming,2023-04-01,46.52,1836
441,CUST0027,Streaming,2023-05-01,34.66,1820
442,CUST0027,Streaming,2023-05-31,10.22,1998
443,CUST0027,Streaming,2023-06-30,73.37,931
444,CUST0028,Phone,2023-01-01,59.9,1562
445,CUST0028,Phone,2023-01-31,60.72,350
446,CUST0028,Phone,2023-03-02,7.27,629
447,CUST0028,Phone,2023-04-01,58.38,994
448,CUST0028,Phone,2023-05-01,35.58,315
449,CUST0028,Phone,2023-05-31,26.0,224
450,CUST0028,Internet,2023-01-01,29.21,1806
451,CUST0028,Internet,2023-01-31,60.03,260
452,CUST0028,Internet,2023-03-02,58.06,1228
453,CUST0028,Internet,2023-04-01,60.45,1823
454,CUST0028,Internet,2023-05-01,79.56,1587
455,CUST0028,Internet,2023-05-31,20.15,973
456,CUST0029,Phone,2023-01-01,5.04,112
457,CUST0029,Phone,2023-01-31,8.33,793
458,CUST0029,Phone,2023-03-02,28.62,328
459,CUST0029,Phone,2023-04-01,55.55,288
460,CUST0029,Phone,2023-05-01,41.69,1202
461,CUST0029,Phone,2023-05-31,62.31,1305
462,CUST0029,Phone,2023-06-30,2.77,861
463,CUST0029,Phone,2023-07-30,43.73,1831
464,CUST0029,Internet,2023-01-01,79.13,347
465,CUST0029,Internet,2023-01-31,27.02,1898
466,CUST0029,Internet,2023-03-02,60.86,569
467,CUST0029,Internet,2023-04-01,63.04,1191
468,CUST0029,Internet,2023-05-01,79.39,151
469,CUST0029,Internet,2023-05-31,69.31,1920
470,CUST0029,Internet,2023-06-30,57.1,1969
471,CUST0029,Internet,2023-07-30,68.98,1554
472,CUST0029,Streaming,2023-01-01,33.47,1558
473,CUST0029,Streaming,2023-01-31,11.51,1321
474,CUST0029,Streaming,2023-03-02,28.31,1534
475,CUST0029,Streaming,2023-04-01,2.05,1188
476,CUST0029,Streaming,2023-05-01,76.21,1492
477,CUST0029,Streaming,2023-05-31,20.22,1554
478,CUST0029,Streaming,2023-06-30,16.42,1081
479,CUST0029,Streaming,2023-07-30,45.33,1050
480,CUST0030,Phone,2023-01-01,34.56,385
481,CUST0030,Phone,2023-01-31,36.21,558
482,CUST0030,Phone,2023-03-02,72.61,1536
483,CUST0030,Phone,2023-04-01,59.52,653
484,CUST0030,Phone,2023-05-01,10.33,1666
485,CUST0030,Phone,2023-05-31,28.47,501
486,CUST0030,Phone,2023-06-30,25.22,372
487,CUST0030,Phone,2023-07-30,26.54,570
488,CUST0030,Phone,2023-08-29,14.81,1233
489,CUST0030,Phone,2023-09-28,73.43,1691
490,CUST0030,Phone,2023-10-28,24.12,668
491,CUST0030,Phone,2023-11-27,7.5,1926
492,CUST0030,Internet,2023-01-01,61.35,996
493,CUST0030,Internet,2023-01-31,66.06,1600
494,CUST0030,Internet,2023-03-02,11.26,420
495,CUST0030,Internet,2023-04-01,76.52,318
496,CUST0030,Internet,2023-05-01,59.55,1651
497,CUST0030,Internet,2023-05-31,15.17,160
498,CUST0030,Internet,2023-06-30,39.66,637
499,CUST0030,Internet,2023-07-30,41.92,164
500,CUST0030,Internet,2023-08-29,67.24,1827
501,CUST0030,Internet,2023-09-28,72.92,1822
502,CUST0030,Internet,2023-10-28,71.28,792
503,CUST0030,Internet,2023-11-27,24.17,1970
504,CUST0030,Streaming,2023-01-01,70.52,1104
505,CUST0030,Streaming,2023-01-31,32.68,689
506,CUST0030,Streaming,2023-03-02,36.75,707
507,CUST0030,Streaming,2023-04-01,55.92,1133
508,CUST0030,Streaming,2023-05-01,17.15,1204
509,CUST0030,Streaming,2023-05-31,41.26,1961
510,CUST0030,Streaming,2023-06-30,53.07,972
511,CUST0030,Streaming,2023-07-30,52.35,537
512,CUST0030,Streaming,2023-08-29,11.22,1181
513,CUST0030,Streaming,2023-09-28,8.82,1001
514,CUST0030,Streaming,2023-10-28,34.25,1402
515,CUST0030,Streaming,2023-11-27,76.16,560
516,CUST0031,Phone,2023-01-01,22.35,126
517,CUST0031,Phone,2023-01-31,29.48,1074
518,CUST0031,Phone,2023-03-02,56.57,666
519,CUST0031,Phone,2023-04-01,32.59,284
520,CUST0031,Phone,2023-05-01,57.06,1253
521,CUST0031,Phone,2023-05-31,61.55,1732
522,CUST0031,Phone,2023-06-30,41.64,905
523,CUST0031,Streaming,2023-01-01,31.77,1457
524,CUST0031,Streaming,2023-01-31,39.3,1670
525,CUST0031,Streaming,2023-03-02,50.96,1978
526,CUST0031,Streaming,2023-04-01,51.39,1732
527,CUST0031,Streaming,2023-05-01,75.17,1786
528,CUST0031,Streaming,2023-05-31,60.17,1437
529,CUST0031,Streaming,2023-06-30,50.78,693
530,CUST0032,Phone,2023-01-01,7.38,1124
531,CUST0032,Phone,2023-01-31,45.83,1303
532,CUST0032,Phone,2023-03-02,51.58,1226
533,CUST0032,Phone,2023-04-01,50.3,1213
534,CUST0032,Phone,2023-05-01,48.52,1863
535,CUST0032,Phone,2023-05-31,45.05,1055
536,CUST0032,Phone,2023-06-30,12.32,173
537,CUST0032,Phone,2023-07-30,77.48,1805
